Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10,Prereq_11,Prereq_12,Prereq_13,Prereq_14,Prereq_15,Prereq_16,Prereq_17,Prereq_18,Prereq_19,Prereq_20,Prereq_21,Prereq_22,Prereq_23,Prereq_24,Prereq_25,Prereq_26,Prereq_27,Prereq_28,Prereq_29,Prereq_30,Prereq_31,Prereq_32,Prereq_33,Prereq_34,Prereq_35,Prereq_36,Prereq_37,Prereq_38,Prereq_39,Prereq_40
PHIL 395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 432,PHIL 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 455,PHIL 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 456,PHIL 455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 457,PHIL 455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 460,PHIL 155,PHIL 360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 474,PHIL 170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 475,PHIL 275,WGST 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL 562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
