Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10
BIOL 528L,BIOL 202,BIOL 103,BIOL 104,BIOL 220,COMP 110,COMP 116,BIOL 226,BIOL 528,,
BIOL 529,BIOL 425,,,,,,,,,
BIOL 532,BIOL 103,BIOL 104,BIOL 220,,,,,,,
BIOL 534,MATH 383,MATH 347,,,,,,,,
BIOL 535,BIOL 103,BIOL 104,BIOL 220,,,,,,,
BIOL 537,BIOL 202,BIOL 103,BIOL 104,BIOL 220,,,,,,
BIOL 542,BIOL 205,BIOL 103,BIOL 104,BIOL 240,,,,,,
BIOL 543,BIOL 205,BIOL 103,BIOL 104,BIOL 220,BIOL 240,,,,,
BIOL 544L,BIOL 205,BIOL 103,BIOL 104,BIOL 240,,,,,,
BIOL 545,BIOL 205,BIOL 103,BIOL 104,BIOL 220,BIOL 240,,,,,
BIOL 546,BIOL 205,BIOL 103,BIOL 104,BIOL 240,,,,,,
BIOL 547,BIOL 202,BIOL 103,BIOL 104,BIOL 220,BIOL 240,,,,,
BIOL 551,BIOL 103,BIOL 104,PHYS 114,PHYS 118,,,,,,
BIOL 552,BIOL 103,BIOL 104,BIOL 278,,,,,,,
BIOL 553,BIOL 201,BIOL 202,BIOL 103,BIOL 104,MATH 231,MATH 232,STOR 120,STOR 155,BIOL 553L,MATH 553L
BIOL 553L,BIOL 201,BIOL 202,BIOL 103,BIOL 104,MATH 231,MATH 232,STOR 120,STOR 155,BIOL 553,MATH 553
BIOL 554,BIOL 103,BIOL 104,BIOL 220,BIOL 250,MATH 231,COMP 110,COMP 116,BIOL 226,,
BIOL 555,BIOL 103,BIOL 104,BIOL 250,BIOL 271,BIOL 555L,,,,,
BIOL 555L,BIOL 103,BIOL 104,BIOL 250,BIOL 271,BIOL 555,,,,,
BIOL 561,GEOG 110,BIOL 103,BIOL 104,BIOL 260,,,,,,
BIOL 562,BIOL 103,BIOL 104,STOR 120,STOR 155,,,,,,
BIOL 563,BIOL 103,BIOL 104,MATH 231,STOR 120,STOR 155,,,,,
BIOL 565,BIOL 103,BIOL 104,BIOL 250,BIOL 260,,,,,,
BIOL 567,BIOL 103,BIOL 104,BIOL 250,BIOL 260,,,,,,
BIOL 568,BIOL 201,MATH 231,BIOL 103,BIOL 104,BIOL 260,MATH 231,,,,
BIOL 579,,,,,,,,,,
BIOL 590,,,,,,,,,,
BIOL 590L,,,,,,,,,,
BIOL 602,,,,,,,,,,
BIOL 603,,,,,,,,,,
BIOL 604,,,,,,,,,,
BIOL 605,BIOL 201,BIOL 202,,,,,,,,
BIOL 620,BIOL 103,BIOL 104,BIOL 220,,,,,,,
BIOL 621,BIOL 202,BIOL 220,,,,,,,,
BIOL 622,BIOL 621,,,,,,,,,
BIOL 624,,,,,,,,,,
BIOL 625,,,,,,,,,,
BIOL 631,,,,,,,,,,
